RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,,ROUND,SQRT,ROUND Q,MAX BALANCE #,250898.09,RANK,LEFT,RIGHT,LEN
52,15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,,146051,382.1661942,382,,,5679,M,768193,9
53,15683553,O'Brien,788,France,Female,33,5,0,2,0,0,116978.19,0,,0,0,0,,,4126,F,683553,7
54,15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,,125562,354.3472873,354,,,1800,M,702298,8
55,15569590,Yoo,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,,98496,313.8407239,314,,,8045,M,569590,3
56,15760861,Phillipps,619,France,Male,43,1,125211.92,1,1,1,113410.49,0,,125212,353.8530769,354,,,4319,M,760861,9
57,15630053,Tsao,656,France,Male,45,5,127864.4,1,1,0,87107.57,0,,127864,357.5807601,358,,,5640,M,630053,4
58,15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,,75888,275.4777668,275,,,7773,M,647091,8
59,15623944,T'ien,511,Spain,Female,66,4,0,1,1,0,1643.11,1,,0,0,0,,,9910,F,623944,5
60,15804771,Velazquez,614,France,Male,51,4,40685.92,1,1,1,46775.28,0,,40686,201.7077093,202,,,7721,M,804771,9
61,15651280,Hunter,742,Germany,Male,35,5,136857,1,0,0,84509.57,0,,136857,369.9418873,370,,,5781,M,651280,6
62,15773469,Clark,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,,152329,390.2934793,390,,,3641,F,773469,5
63,15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,,56085,236.8227185,237,,,1047,M,702014,7
64,15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,,78707,280.5476787,281,,,5038,M,751208,7
65,15592461,Jackson,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,,109166,330.4027845,330,,,5364,M,592461,7
66,15789484,Hammond,751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,,169831,412.105569,412,,,8629,F,789484,7
67,15696061,Brownless,581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,,101633,318.7993099,319,,,4456,F,696061,9
68,15641582,Chibugo,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,,123180,350.9700842,351,,,174,M,641582,7
69,15638424,Glauert,661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,,150726,388.2344652,388,,,4304,F,638424,7
70,15755648,Pisano,675,France,Female,21,8,98373.26,1,1,0,18203,0,,98373,313.6447034,314,,,9105,F,755648,6
71,15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,,133745,365.711635,366,,,8591,M,703793,10
72,15620344,McKee,813,France,Male,29,6,0,1,1,0,33953.87,0,,0,0,0,,,8337,M,620344,5
73,15812518,Palermo,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,,163607,404.4836214,404,,,7844,F,812518,7
74,15779052,Ballard,604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,,157781,397.2165656,397,,,7115,F,779052,7
75,15770811,Wallace,519,France,Male,36,9,0,2,0,1,145562.4,0,,0,0,0,,,2690,M,770811,7
76,15780961,Cavenagh,735,France,Female,21,1,178718.19,2,1,0,22388,0,,178718,422.7505174,423,,,8900,F,780961,8
77,15614049,Hu,664,France,Male,55,8,0,2,1,1,139161.64,0,,0,0,0,,,3011,M,614049,2
78,15662085,Read,678,France,Female,32,9,0,1,1,1,148210.64,0,,0,0,0,,,2553,F,662085,4
79,15575185,Bushell,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,,77253,277.944239,278,,,299,M,575185,7
80,15803136,Postle,416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,,122190,349.5568623,350,,,5084,F,803136,6
81,15706021,Buley,665,France,Female,34,1,96645.54,2,0,0,171413.66,0,,96646,310.8793978,311,,,1442,F,706021,5
82,15663706,Leonard,777,France,Female,32,2,0,1,1,0,136458.19,1,,0,0,0,,,3158,F,663706,7
83,15641732,Mills,543,France,Female,36,3,0,2,0,0,26019.59,0,,0,0,0,,,8732,F,641732,5
84,15701164,Onyeorulu,506,France,Female,34,4,90307.62,1,1,1,159235.29,0,,90308,300.5128949,301,,,2038,F,701164,9
85,15738751,Beit,493,France,Female,46,4,0,2,1,0,1907.66,0,,0,0,0,,,9897,F,738751,4
86,15805254,Ndukaku,652,Spain,Female,75,10,0,2,1,1,114675.75,0,,0,0,0,,,4257,F,805254,7
87,15762418,Gant,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,,121682,348.8294712,349,,,3538,M,762418,4
88,15625759,Rowley,729,France,Male,30,9,0,2,1,0,151869.35,0,,0,0,0,,,2378,M,625759,6
89,15622897,Sharpe,646,France,Female,46,4,0,3,1,0,93251.42,1,,0,0,0,,,5333,F,622897,6
90,15767954,Osborne,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,,81624,285.6991425,286,,,2161,F,767954,7
91,15757535,Heap,647,Spain,Female,44,5,0,3,1,1,174205.22,1,,0,0,0,,,1296,F,757535,4
92,15731511,Ritchie,808,France,Male,45,7,118626.55,2,1,0,147132.46,0,,118627,344.4227054,344,,,2602,M,731511,7
93,15809248,Cole,524,France,Female,36,10,0,2,1,0,109614.57,0,,0,0,0,,,4493,F,809248,4
94,15640635,Capon,769,France,Male,29,8,0,2,1,1,172290.61,0,,0,0,0,,,1395,M,640635,5
95,15676966,Capon,730,Spain,Male,42,4,0,2,0,1,85982.47,0,,0,0,0,,,5704,M,676966,5
96,15699461,Fiorentini,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,,176274,419.8499732,420,,,3918,M,699461,10
97,15738721,Graham,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,,102827,320.6664934,321,,,6799,M,738721,6
98,15693683,Yuille,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,,97086,311.5862641,312,,,148,M,693683,6
99,15604348,Allard,710,Spain,Male,22,8,0,2,0,0,99645.04,0,,0,0,0,,,5027,M,604348,6
100,15633059,Fanucci,413,France,Male,34,9,0,2,0,0,6534.18,0,,0,0,0,,,9665,M,633059,7
101,15808582,Fu,665,France,Female,40,6,0,1,1,1,161848.03,0,,0,0,0,,,1912,F,808582,2
102,15743192,Hung,623,France,Female,44,6,0,2,0,0,167162.43,0,,0,0,0,,,1653,F,743192,4
103,15580146,Hung,738,France,Male,31,9,82674.15,1,1,0,41970.72,0,,82674,287.5308679,288,,,7942,M,580146,4
104,15776605,Bradley,528,Spain,Male,36,7,0,2,1,0,60536.56,0,,0,0,0,,,7013,M,776605,7
105,15804919,Dunbabin,670,Spain,Female,65,1,0,1,1,1,177655.68,1,,0,0,0,,,1114,F,804919,8
106,15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,,107073,327.2201094,327,,,8484,F,613854,7
107,15599195,Stiger,582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,,88939,298.226424,298,,,9488,M,599195,6
108,15812878,Parsons,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,,99807,315.9224588,316,,,8179,F,812878,7
109,15602312,Walkom,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,,150093,387.4183785,387,,,6442,M,602312,6
110,15744689,T'ang,479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,,92834,304.6867244,305,,,5036,M,744689,5
111,15803526,Eremenko,685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,,90537,300.8936689,301,,,6875,M,803526,8
112,15665790,Rowntree,538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,,108055,328.7172037,329,,,8666,M,665790,8
113,15715951,Thorpe,562,France,Male,42,2,100238.35,1,0,0,86797.41,0,,100238,316.6038534,317,,,5657,M,715951,6
114,15591100,Chiemela,675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,,106191,325.8696058,326,,,8872,M,591100,8
115,15609618,Fanucci,721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,,154476,393.0343496,393,,,4935,M,609618,7
116,15675522,Ko,628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0,,132351,363.8007697,364,,,6327,F,675522,2
117,15705512,Welch,668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0,,167864,409.712094,410,,,4208,F,705512,5
118,15698028,Duncan,506,France,Female,41,1,0,2,1,0,31766.3,0,,0,0,0,,,8443,F,698028,6
119,15661670,Chidozie,524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1,,107819,328.3580363,328,,,15,F,661670,8
120,15600781,Wu,699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0,,185174,430.3184867,430,,,3943,M,600781,2
121,15682472,Culbreth,828,France,Male,34,8,129433.34,2,0,0,38131.77,0,,129433,359.7679808,360,,,8126,M,682472,8
122,15580203,Kennedy,674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0,,120193,346.6886211,347,,,5005,M,580203,7
123,15690673,Cameron,656,France,Female,39,6,0,2,1,0,141069.88,0,,0,0,0,,,2917,F,690673,7
124,15760085,Calabresi,684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0,,126384,355.5052742,356,,,97,F,760085,9
125,15779659,Zetticci,625,France,Female,28,3,0,1,0,0,183646.41,0,,0,0,0,,,798,F,779659,8
126,15627360,Fuller,432,France,Male,42,9,152603.45,1,1,0,110265.24,1,,152603,390.6443395,391,,,4465,M,627360,6
127,15671137,MacDonald,549,France,Female,52,1,0,1,0,1,8636.05,1,,0,0,0,,,9576,F,671137,9
128,15782688,Piccio,625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1,,148507,385.3660597,385,,,7716,M,782688,6
129,15575492,Kennedy,828,France,Female,41,7,0,2,1,0,171378.77,0,,0,0,0,,,1443,F,575492,7
130,15591607,Fernie,770,France,Male,24,9,101827.07,1,1,0,167256.35,0,,101827,319.1034315,319,,,1648,M,591607,6
131,15740404,He,758,France,Female,34,3,0,2,1,1,124226.16,0,,0,0,0,,,3767,F,740404,2
132,15718369,Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0,,130862,361.7485314,362,,,4246,F,718369,17
133,15677871,Cocci,687,France,Male,38,9,122570.87,1,1,1,35608.88,0,,122571,350.1014139,350,,,8256,M,677871,5
134,15642004,Alekseeva,686,France,Male,25,1,0,2,0,1,16459.37,0,,0,0,0,,,9181,M,642004,9
135,15712543,Chinweike,789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0,,124828,353.3100621,353,,,3760,M,712543,9
136,15584518,Arthur,589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0,,144895,380.6507586,381,,,8285,F,584518,6
137,15802381,Li,461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0,,63664,252.3172606,252,,,1622,F,802381,2
138,15610156,Ma,637,France,Male,40,2,133463.1,1,0,1,93165.34,0,,133463,365.3258819,365,,,5339,M,610156,2
139,15594408,Chia,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1,,213146,461.6773765,462,,,6276,F,594408,4
140,15640905,Vasin,579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1,,129490,359.8471898,360,,,9577,F,640905,5
141,15698932,Groves,756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0,,137452,370.7451955,371,,,531,M,698932,6
142,15724944,Tien,663,France,Male,34,7,0,2,1,1,180427.24,0,,0,0,0,,,964,M,724944,4
143,15628145,Forwood,682,France,Female,43,5,125851.93,1,1,1,193318.33,0,,125852,354.7562543,355,,,342,F,628145,7
144,15713483,Greeves,793,Spain,Male,52,2,0,1,1,0,159123.82,1,,0,0,0,,,2044,M,713483,7
145,15612350,Taylor,691,France,Female,31,5,40915.55,1,1,0,126213.84,1,,40916,202.2770377,202,,,3663,F,612350,6
146,15800703,Madukwe,485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0,,113157,336.3881686,336,,,7348,F,800703,7
147,15705707,Bennelong,635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0,,138297,371.8830461,372,,,2916,F,705707,9
148,15754105,Olisanugo,650,France,Male,37,5,106967.18,1,0,0,24495.03,0,,106967,327.0580988,327,,,8808,M,754105,9
149,15703264,Chukwufumnanya,735,France,Male,44,9,120681.63,1,1,0,74836.34,0,,120682,347.393149,347,,,6295,M,703264,14
150,15794413,Harris,416,France,Male,32,0,0,2,0,1,878.87,0,,0,0,0,,,9950,M,794413,6
151,15650237,Morgan,754,Spain,Female,32,7,0,2,1,0,89520.75,0,,0,0,0,,,5526,F,650237,6
152,15759618,Alexeeva,535,France,Female,48,9,0,1,1,0,149892.79,1,,0,0,0,,,2462,F,759618,8
153,15811589,Metcalfe,716,Spain,Male,42,8,0,2,1,0,180800.42,0,,0,0,0,,,941,M,811589,8
154,15689044,Humphries,539,France,Male,37,2,127609.59,1,1,0,98646.22,0,,127610,357.225419,357,,,5069,M,689044,9
155,15709368,Milne,614,France,Female,43,6,0,2,1,1,109041.53,0,,0,0,0,,,4526,F,709368,5
156,15679145,Chou,706,Spain,Male,57,7,0,1,1,0,17941.16,1,,0,0,0,,,9115,M,679145,4
157,15655007,Li,758,France,Female,33,7,0,2,0,0,82996.47,0,,0,0,0,,,5865,F,655007,2
158,15623595,Clayton,586,Spain,Female,28,2,0,2,1,1,92067.35,0,,0,0,0,,,5400,F,623595,7
159,15589975,Maclean,646,France,Female,73,6,97259.25,1,0,1,104719.66,0,,97259,311.8637523,312,,,4743,F,589975,7
160,15804017,Chigolum,631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0,,123247,351.065521,351,,,4352,F,804017,8
161,15692132,Wilkinson,717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0,,101060,317.8993551,318,,,5770,F,692132,9
162,15641122,Wei,684,France,Male,30,2,0,2,1,0,83473.82,0,,0,0,0,,,5836,M,641122,3
163,15630910,Treacy,800,France,Female,49,7,108007.36,1,0,0,47125.11,0,,108007,328.6441845,329,,,7701,F,630910,6
164,15680772,Hu,721,Spain,Female,36,2,0,2,1,1,106977.8,0,,0,0,0,,,4627,F,680772,2
165,15658929,Taverner,683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1,,133703,365.6542082,366,,,7269,M,658929,8
166,15585388,Sherman,660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0,,125190,353.8219891,354,,,2985,M,585388,7
167,15724623,Taubman,704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1,,113034,336.2052944,336,,,1886,F,724623,7
168,15588537,Robinson,615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0,,109013,330.1711677,330,,,188,F,588537,8
169,15574692,Pinto,667,Spain,Female,39,2,0,2,1,0,40721.24,1,,0,0,0,,,8012,F,574692,5
170,15611325,Wood,682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0,,57930,240.6865181,241,,,7396,M,611325,4
171,15587562,Hawkins,484,France,Female,29,4,130114.39,1,1,0,164017.89,0,,130114,360.7131825,361,,,1804,F,587562,7
172,15613172,Sun,628,Germany,Male,27,5,95826.49,2,1,0,155996.96,0,,95826,309.5577491,310,,,2195,M,613172,3
173,15651022,Yost,480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1,,129609,360.0124998,360,,,9718,M,651022,4
174,15586310,Ting,578,France,Male,30,4,169462.09,1,1,0,112187.11,0,,169462,411.6576247,412,,,4382,M,586310,4
175,15625524,Rowe,512,France,Male,40,5,0,2,1,1,146457.83,0,,0,0,0,,,2639,M,625524,4
176,15755209,Fu,484,Spain,Female,35,7,133868.21,1,1,1,27286.1,0,,133868,365.8797617,366,,,8662,F,755209,2
177,15645248,Ho,510,France,Female,30,0,0,2,1,1,130553.47,0,,0,0,0,,,3452,F,645248,2
178,15790355,Okechukwu,606,Germany,Male,36,5,190479.48,2,0,0,179351.89,0,,190479,436.4389992,436,,,1024,M,790355,9
179,15762615,Campbell,597,Spain,Female,40,8,101993.12,1,0,1,94774.12,0,,101993,319.3634293,319,,,5249,F,762615,8
180,15625426,Ashbolt,754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1,,161609,402.0062189,402,,,9599,F,625426,7
181,15716334,Rozier,850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0,,122311,349.7298958,350,,,9043,F,716334,6
182,15789669,Hsia,510,France,Male,65,2,0,2,1,1,48071.61,0,,0,0,0,,,7653,M,789669,4
183,15621075,Ogbonnaya,778,Germany,Female,45,1,162150.42,2,1,0,174531.27,0,,162150,402.6785318,403,,,1282,F,621075,9
184,15810845,T'ang,636,France,Male,42,2,0,2,1,1,55470.78,0,,0,0,0,,,7275,M,810845,5
185,15719377,Cocci,804,France,Female,50,4,0,1,1,1,8546.87,1,,0,0,0,,,9581,F,719377,5
186,15654506,Chang,514,France,Male,32,8,0,2,1,0,95857.18,0,,0,0,0,,,5190,M,654506,5
187,15771977,T'ao,730,France,Female,39,1,99010.67,1,1,0,194945.8,0,,99011,314.6601341,315,,,259,F,771977,4
188,15708710,Ford,525,Spain,Female,37,0,0,1,0,1,131521.72,0,,0,0,0,,,3400,F,708710,4
189,15726676,Marshall,616,Spain,Male,30,5,0,2,0,1,196108.51,0,,0,0,0,,,213,M,726676,8
190,15587421,Tsai,687,Germany,Female,34,7,111388.18,2,1,0,148564.76,0,,111388,333.7484082,334,,,2539,F,587421,4
191,15726931,Onwumelu,715,France,Female,41,8,56214.85,2,0,0,92982.61,1,,56215,237.0970266,237,,,5352,F,726931,8
192,15771086,Graham,512,France,Female,36,3,84327.77,2,1,0,17675.36,0,,84328,290.3928374,290,,,9125,F,771086,6
193,15756850,Golovanov,479,France,Male,40,1,0,2,0,0,114996.43,0,,0,0,0,,,4242,M,756850,9
194,15702741,Potts,601,France,Male,32,8,93012.89,1,1,0,86957.42,0,,93013,304.9803272,305,,,5648,M,702741,5
195,15679200,Crawford,580,Spain,Male,29,9,61710.44,2,1,0,128077.8,0,,61710,248.4149754,248,,,3562,M,679200,8
196,15594815,Aleshire,807,France,Male,35,3,174790.15,1,1,1,600.36,0,,174790,418.0789399,418,,,9970,M,594815,8
197,15635905,Moran,616,Spain,Female,32,6,0,2,1,1,43001.46,0,,0,0,0,,,7894,F,635905,5
198,15777892,Samsonova,721,Germany,Male,37,3,107720.64,1,1,1,158591.12,0,,107721,328.208775,328,,,2071,M,777892,9
199,15656176,Jenkins,501,France,Male,57,10,0,2,1,1,47847.19,0,,0,0,0,,,7664,M,656176,7
200,15811127,Volkov,521,France,Male,35,6,96423.84,1,1,0,10488.44,0,,96424,310.5221409,311,,,9468,M,811127,6
201,15604482,Chiemezie,850,Spain,Male,30,2,141040.01,1,1,1,5978.2,0,,141040,375.5529257,376,,,9692,M,604482,9
202,15622911,Jude,759,France,Male,42,4,105420.18,1,0,1,121409.06,0,,105420,324.6844622,325,,,3911,M,622911,4
203,15600974,He,516,Spain,Male,50,5,0,1,0,1,146145.93,1,,0,0,0,,,2660,M,600974,2
204,15727868,Onuora,711,France,Female,38,2,129022.06,2,1,1,14374.86,1,,129022,359.1963251,359,,,9276,F,727868,6
205,15627801,Ginikanwa,512,Spain,Male,33,3,176666.62,1,1,0,94670.77,0,,176667,420.317737,420,,,5257,M,627801,9
206,15773039,Ku,550,France,Male,37,3,0,1,1,1,179670.31,0,,0,0,0,,,1002,M,773039,2
207,15755262,McDonald,608,Spain,Female,41,3,89763.84,1,0,0,199304.74,1,,89764,299.6064085,300,,,42,F,755262,8
208,15679531,Collins,618,France,Male,34,5,134954.53,1,1,1,151954.39,0,,134955,367.3622191,367,,,2370,M,679531,7
209,15684181,Hackett,643,France,Male,45,5,0,1,1,0,142513.5,1,,0,0,0,,,2851,M,684181,7
210,15612087,Dike,671,France,Male,45,2,106376.85,1,0,1,158264.62,0,,106377,326.1548712,326,,,2095,M,612087,4
211,15752047,Trevisano,689,Germany,Male,33,2,161814.64,2,1,0,169381.9,0,,161815,402.2623522,402,,,1545,M,752047,9
212,15624592,Tan,603,France,Male,31,8,0,2,1,1,169915.02,0,,0,0,0,,,1523,M,624592,3
213,15573152,Glassman,620,France,Female,41,9,0,2,0,0,88852.47,0,,0,0,0,,,5559,F,573152,8
214,15594917,Miller,676,France,Female,34,1,63095.01,1,1,1,40645.81,0,,63095,251.1871812,251,,,8014,F,594917,6
215,15785542,Kornilova,572,Germany,Male,26,4,118287.01,2,0,0,60427.3,0,,118287,343.9287717,344,,,7017,M,785542,9
216,15723488,Watson,668,Germany,Male,47,7,106854.21,1,0,1,157959.02,1,,106854,326.885301,327,,,2107,M,723488,6
217,15680920,Marchesi,695,France,Male,46,7,49512.55,1,1,0,133007.34,0,,49513,222.515168,223,,,3323,M,680920,8
218,15786308,Millar,730,Spain,Female,33,9,0,2,0,0,176576.62,0,,0,0,0,,,1183,F,786308,6
219,15659366,Shih,807,France,Male,43,1,105799.32,2,1,0,34888.04,1,,105799,325.2675822,325,,,8287,M,659366,4
220,15774854,Fuller,592,France,Male,54,8,0,1,1,1,28737.71,1,,0,0,0,,,8571,M,774854,6
